OrderID,CustomerName,Product,Category,Price,Quantity,OrderDate,City,Rating
1099,Sanjay Verma,Jeans,Clothing,2426.56,4,2024-05-15,Bengaluru,3.9
1046,Pooja Gupta,Sofa,Home,44465.05,4,02/01/2024,Hyderabad,3.8
1105,Divya Sharma,T-Shirt,Clothing,1102.71,2,05/06/2024,pune,2.7
1022,Aman Das,Sofa,Home,41616.38,1,15-03-2024,New Delhi,3.5
1078,Isha Sharma,Sneakers,Footwear,₹4252.74,3,16/03/2024,pune,3.1
1122,Sneha Reddy,Desk Lamp,Home,1439.76,5,02-10-2024,Chennai,4.0
1125,Nikhil Iyer,Laptop,Electronics,68185.86,2,22-11-2024,MUMBAI,3.5
1170,Nikhil Sharma,Desk Lamp,Home,₹437.8,2,2024-05-06,Pune ,4.4
1024,Aman Das,T-Shirt,Clothing,336.39,2,2024-03-13,Chennai,2.6
1113,Isha Patel,Smartphone,Electronics,12401.1,5,21/06/2024,Pune ,2.6
1011,Priya Singh,Headphones,Electronics,3582.59,2,2024-10-22,pune,3.6
1215,Kabir Gupta,Sandals,Footwear,₹849.61,4,07/08/2024,New Delhi,4.6
1074,Anjali Iyer,Jeans,Clothing,2064.87,2,21/07/2024,BANGALORE,2.6
1180,Aman Sharma,Sofa,Home,34012.76,4,2024-09-10,DELHI,3.3
1002,Arjun Nair,Laptop,Electronics,₹66679.8,3,2024-08-02,hyderabad,2.6
1102,Meera Verma,Desk Lamp,Home,,2,2024-11-23,Hyderabad ,3.6
1210,Aman Patel,Laptop,Electronics,₹82992.37,5,16-08-2024,Chennai,4.1
1109,Meera Singh,T-Shirt,Clothing,681.8,-2,2024-02-03,Bangalore,3.3
1090,Anjali Sharma,T-Shirt,Clothing,602.9,2,2024-10-26,Mumbai,3.3
1184,Tara Iyer,Desk Lamp,Home,440.28,3,2024-10-08,chennai,4.1
1168,Neha Nair,Smartphone,Electronics,21239.31,4,26-06-2024,New Delhi,3.0
1108,Sneha Sharma,Jeans,Clothing,₹2003.91,3,2024-07-22,New Delhi,4.4
1084,Anjali Das,Sandals,Footwear,993.32,5,24-07-2024,Bangalore,2.9
1057,Anjali Das,T-Shirt,Clothing,475.72,5,2024-03-04,Pune,3.7
1116,Aman Reddy,Sofa,Home,33826.74,3,25-11-2024,BANGALORE,4.8
1212,Anjali Reddy,Sneakers,Footwear,3859.76,4,2024-03-06,Pune ,3.7
1182,Nikhil Reddy,Jeans,Clothing,1545.87,1,01/07/2024,CHENNAI,3.1
1101,Pooja Sharma,Jeans,Clothing,2079.04,1,21-10-2024,Bangalore,2.8
1156,Rohan Reddy,Sandals,Footwear,815.01,2,2024-07-17,pune,3.9
1205,Aman Iyer,Jeans,Clothing,1099.86,4,24/01/2024,mumbai,3.5
1085,Rahul Patel,Headphones,Electronics,4765.86,4,27-04-2024,BANGALORE,4.0
1158,Meera Reddy,Headphones,Electronics,2790.67,2,13-02-2024,MUMBAI,4.5
1139,Sneha Singh,T-Shirt,Clothing,771.24,1,04-10-2024,MUMBAI,4.9
1102,Meera Verma,Desk Lamp,Home,,2,2024-11-23,Hyderabad ,3.6
1065,Priya Patel,Jeans,Clothing,1299.11,2,2024-08-25,Bangalore,4.5
1141,Tara Reddy,Headphones,Electronics,992.62,5,11-11-2024,bangalore,3.4
1153,Omar Verma,Headphones,Electronics,3826.17,2,24-03-2024,pune,2.6
1193,Arjun Reddy,Sofa,Home,32501.75,2,12/10/2024,pune,4.9
1082,Anjali Singh,Smartphone,Electronics,25150.66,2,04-02-2024,DELHI,4.9
1060,Neha Verma,Blender,Home,2747.74,3,20/05/2024,chennai,5.0
1132,Aman Gupta,Smartphone,Electronics,20866.19,2,22-06-2024,Hyderabad ,3.7
1009,Meera Das,Sofa,Home,21926.81,4,2024-12-07,mumbai,3.6
1018,Sneha Sharma,Sneakers,Footwear,1524.85,3,08/03/2024,Pune,3.0
1114,Rahul Reddy,Sneakers,Footwear,5660.89,4,03/03/2024,Pune,2.7
1080,Omar Reddy,Desk Lamp,Home,412.99,4,16/10/2024,mumbai,2.9
1095,Aman Das,Jeans,Clothing,11459.44,5,23-07-2024,CHENNAI,3.1
1066,Anjali Patel,Desk Lamp,Home,,2,04/04/2024,Bangalore,2.5
1213,Karan Singh,Headphones,Electronics,1452.01,1,23/07/2024,Hyderabad,3.3
1218,Anjali Iyer,T-Shirt,Clothing,514.36,2,24/08/2024,Hyderabad,4.5
